"","crime_day","temp","wdsp","NUM_CRIMES"
"452",3,37.6,21.6,0.105398457583548
"453",4,39.4,24,0.303341902313625
"454",5,40.8,20.9,0.380462724935733
"455",6,41.9,9.6,0.526992287917738
"456",7,44.2,14.6,0.303341902313625
"457",1,55.8,16.6,0.501285347043702
"458",2,62.8,15.1,0.519280205655527
"459",3,58.7,8,0.488431876606684
"460",4,52.8,13.2,0.467866323907455
"461",5,54,17.9,0.596401028277635
"462",6,54.6,11.4,0.519280205655527
"463",7,68.6,23.9,0.622107969151671
"464",1,55.2,8.5,0.61439588688946
"465",2,54.2,14.6,0.473007712082262
"466",3,64.9,24.8,0.473007712082262
"467",4,54.9,10.3,0.280205655526992
"468",5,50.6,20,0.501285347043702
"469",6,45.8,18.8,0.352185089974293
"470",7,44.7,12.6,0.452442159383033
"471",1,56.1,14.2,0.565552699228792
"472",2,60.7,27,0.424164524421594
"473",3,44.3,22.5,0.408740359897172
"474",4,44.2,8.2,0.277634961439589
"475",5,50.1,18.5,0.498714652956298
"476",6,66.1,24.5,0.447300771208226
"477",7,64.5,20,0.640102827763496
"478",1,68.2,16.9,0.457583547557841
"479",2,60.6,11.2,0.526992287917738
"480",4,60.2,10.9,0.611825192802057
"481",5,59,8.5,0.426735218508997
"482",6,57.1,6.2,0.467866323907455
"483",7,56.4,12.8,0.467866323907455
"484",1,56.8,7.1,0.426735218508997
"485",2,64,15.4,0.537275064267352
"486",3,67.1,10,0.616966580976864
"487",4,59.2,16.8,0.359897172236504
"488",5,56.1,12.3,0.455012853470437
"489",6,61.2,15.9,0.570694087403599
"490",7,66.6,12.2,0.573264781491003
"491",1,76.1,18.9,0.539845758354756
"492",2,57.3,15.3,0.568123393316195
"493",3,55.3,20.2,0.61439588688946
"494",4,61.5,10.5,0.555269922879177
"495",5,66.8,9.3,0.719794344473008
"496",6,70.2,9.1,0.601542416452442
"497",7,73.2,11.7,0.665809768637532
"498",1,69.9,9.2,0.681233933161954
"499",2,71.3,12.8,0.668380462724936
"500",3,75.6,27.9,0.732647814910026
"501",4,71.7,12.1,0.696658097686375
"502",5,69,14.2,0.691516709511568
"503",6,66,14.1,0.722365038560411
"504",7,63.2,10,0.632390745501285
"505",1,67.8,14.9,0.622107969151671
"506",2,66.1,7.4,0.61439588688946
"507",3,60,20.3,0.670951156812339
"508",4,59,13.2,0.611825192802057
"509",5,64.6,9,0.645244215938303
"510",6,66.3,12,0.982005141388175
"511",7,63.8,9.8,0.596401028277635
"512",1,68.7,10.5,0.796915167095116
"513",2,77.1,15,0.57840616966581
"514",3,75.7,16.6,0.732647814910026
"515",4,76.5,18.9,0.845758354755784
"516",5,72.1,19.2,0.778920308483291
"517",6,69.9,10,0.655526992287918
"518",7,68.4,18,0.670951156812339
"519",1,60.6,19.3,0.619537275064267
"520",2,62.9,8.4,0.383033419023136
"521",3,75.8,14.9,0.529562982005141
"522",4,84.8,16.1,0.658097686375321
"523",5,73.7,10.6,0.552699228791774
"524",6,72.9,11.3,0.858611825192802
"525",7,79.3,20.3,0.776349614395887
"526",1,88.3,18.1,0.858611825192802
"527",2,84.7,23.5,0.768637532133676
"528",3,86.5,19.4,0.660668380462725
"529",4,72.7,13,0.655526992287918
"530",5,72.1,7.6,0.817480719794344
"531",6,82.3,16.9,0.719794344473008
"532",7,79.8,16.3,0.627249357326478
"533",1,78.4,7.4,0.732647814910026
"534",2,82.2,24,0.650385604113111
"535",3,79.8,11.4,0.606683804627249
"536",4,65.4,9.5,0.547557840616967
"537",5,69.9,13.2,0.416452442159383
"538",6,79.1,11.2,0.670951156812339
"539",7,69.8,21.5,0.776349614395887
"540",1,66.2,12.4,0.881748071979435
"541",2,71.2,16.1,0.763496143958869
