"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","temp","wdsp","NUM_CRIMES"
"161",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2014,75.1,18.5,0.897905759162304
"162",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2014,70.7,11.7,0.591623036649215
"163",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2014,58.2,9.5,0.727748691099476
"164",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2014,68,8.7,0.897905759162304
"165",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2014,60.5,8.4,0.835078534031414
"166",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2014,61.6,5.4,0.840314136125654
"167",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2014,63.4,6.1,0.743455497382199
"168",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2014,67.9,6.2,0.827225130890052
"169",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2014,61.3,8.8,0.81413612565445
"170",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2014,57.2,8.7,0.732984293193717
"171",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2014,62.1,6.3,0.926701570680628
"172",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2014,73.1,14.1,0.803664921465969
"173",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2014,74.8,16.5,0.942408376963351
"174",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2014,76.1,18.8,0.664921465968586
"175",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2014,66.5,13.9,0.712041884816754
"176",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2014,59.4,7.3,0.890052356020942
"177",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2014,64.6,7.7,0.761780104712042
"178",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2014,68.2,10.7,0.926701570680628
